objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,longitude,latitude
"284",,Mount Hope Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.52527778,42.51777778
"285",,Nash Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.80444444,42.49472222
"286",,Neff Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.757640271315,42.5619326961089
"287",,Newton Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.73111111,42.61555556
"288",,Nichols Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.69194444,42.43666667
"289",,North Afton Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.54166667,42.27361111
"290",,North Canal Street Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.76888889,42.33277778
"291",,North Guilford Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.47472222,42.4525
"294",,North Pharsalia Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.70027778,42.60944444
"295",,North Side Burying Ground,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.61555556,42.62944444
"297",,Norwich Quarter Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.46694444,42.555
"299",,Old Burlingame Burial Ground,,,,cemetery,Norwich,,,,,,,,record,,,,-75.515,42.52055556
